Title;ROC-area;ROC-error;Title;ROC-area;ROC-error;nTrs;nVs;time_trs;time_vs;C;nSv;nSv+;nSv-
35;0,714638320110494;0,00470198068638776;35;0,549064583333333;0,0128717553195647;10000;2000;2214,3419;465,7622;C:100;Kernel:1;nsv:7504;nsv+:1505;nsv-:5999
36;0,710934705109945;0,00482705803589434;36;0,546953125;0,0128706496208586;10000;2000;2425,3532;469,4598;C:100;Kernel:1;nsv:7498;nsv+:1504;nsv-:5994
37;0,727482596104492;0,00499839202834339;37;0,585226041666667;0,0127354081574454;10000;2000;2385,0653;479,6377;C:100;Kernel:1;nsv:7388;nsv+:1480;nsv-:5908
38;0,715190243800306;0,004916838210662;38;0,5716078125;0,0128129401956608;10000;2000;2598,1961;463,2255;C:100;Kernel:1;nsv:7439;nsv+:1490;nsv-:5949
39;0,743791883640009;0,0049518856919061;39;0,594733333333333;0,0126719821637082;10000;2000;2356,049;453,9631;C:100;Kernel:1;nsv:7145;nsv+:1433;nsv-:5712
40;0,713691026313324;0,00476680026493536;40;0,559645833333333;0,0128773532631876;10000;2000;2191,6704;471,3749;C:100;Kernel:1;nsv:7468;nsv+:1495;nsv-:5973
41;0,714245018392774;0,00473174992037687;41;0,551123958333333;0,0128700472339405;10000;2000;2361,7923;465,6037;C:100;Kernel:1;nsv:7504;nsv+:1504;nsv-:6000
42;0,71382838885297;0,00478984755391699;42;0,534225;0,0128900448261801;10000;2000;2359,4884;451,5779;C:100;Kernel:1;nsv:7490;nsv+:1498;nsv-:5992
43;0,720550713272124;0,00478259292884687;43;0,530911458333332;0,0129448438829992;10000;2000;2615,1929;446,6113;C:100;Kernel:1;nsv:7426;nsv+:1487;nsv-:5939
44;0,717365017350921;0,00469326139189523;44;0,5514390625;0,0128644853378814;10000;2000;2425,1832;430,6679;C:100;Kernel:1;nsv:7495;nsv+:1501;nsv-:5994
45;0,713845891332787;0,00475356237133176;45;0,549729166666667;0,012876467430581;10000;2000;2243,9642;466,4588;C:100;Kernel:1;nsv:7494;nsv+:1502;nsv-:5992
46;0,735323530157612;0,00494356025432727;46;0,577628125;0,0127683755852053;10000;2000;1935,0076;483,4917;C:100;Kernel:1;nsv:7386;nsv+:1480;nsv-:5906
47;0,717453920723529;0,00481583772463663;47;0,560332291666667;0,0128338764201579;10000;2000;1996,0778;513,7187;C:100;Kernel:1;nsv:7484;nsv+:1498;nsv-:5986
48;0,749320644339281;0,00496041225279682;48;0,573254166666667;0,0127631177105859;10000;2000;1937,6317;558,3754;C:100;Kernel:1;nsv:7193;nsv+:1442;nsv-:5751
49;0,711565401003021;0,00471011162441335;49;0,527496875;0,0128934353975314;10000;2000;2269,8391;445,0164;C:100;Kernel:1;nsv:7477;nsv+:1496;nsv-:5981
50;0,71404916054322;0,00476584306587529;50;0,521415104166667;0,0128946167704883;10000;2000;1986,2218;475,9531;C:100;Kernel:1;nsv:7466;nsv+:1495;nsv-:5971
51;0,710215375460752;0,00486989241911379;51;0,5208796875;0,0128992225921339;10000;2000;2261,0209;481,7814;C:100;Kernel:1;nsv:7471;nsv+:1495;nsv-:5976
52;0,71273627246609;0,00471634473951444;52;0,549722916666667;0,012882627447927;10000;2000;2386,939;460,8292;C:100;Kernel:1;nsv:7500;nsv+:1503;nsv-:5997
53;0,716647206610734;0,0047939650493392;53;0,634065104166667;0,0123012821904939;10000;2000;2604,4896;469,5891;C:100;Kernel:1;nsv:7284;nsv+:1459;nsv-:5825
54;0,714175955442901;0,00480382743856119;54;0,547907291666666;0,012873544794969;10000;2000;2750,9567;549,0055;C:100;Kernel:1;nsv:7504;nsv+:1504;nsv-:6000
55;0,73450775665065;0,00501727003126833;55;0,592538541666667;0,012698459943962;10000;2000;2410,2287;440,6997;C:100;Kernel:1;nsv:7296;nsv+:1461;nsv-:5835
56;0,719614501516686;0,004992357607406;56;0,58225;0,0127660572551346;10000;2000;2372,7962;512,6518;C:100;Kernel:1;nsv:7359;nsv+:1476;nsv-:5883
57;0,743209632462698;0,00499721451970678;57;0,591896354166668;0,0126906767095599;10000;2000;3132,0034;697,3443;C:100;Kernel:1;nsv:7093;nsv+:1420;nsv-:5673
58;0,711087909055582;0,00470776780462997;58;0,561425;0,0129086467238672;10000;2000;2274,4888;470,8165;C:100;Kernel:1;nsv:7452;nsv+:1490;nsv-:5962
59;0,714402679888941;0,00475011473374291;59;0,5568625;0,0128697905262577;10000;2000;2320,3472;464,2969;C:100;Kernel:1;nsv:7497;nsv+:1502;nsv-:5995
60;0,711736149183045;0,00485709885038362;60;0,532698958333333;0,0128879999720869;10000;2000;2509,6668;495,5519;C:100;Kernel:1;nsv:7488;nsv+:1498;nsv-:5990
61;0,722135901539131;0,00468017820053992;61;0,533677083333334;0,0129336093987236;10000;2000;2465,3475;458,5364;C:100;Kernel:1;nsv:7439;nsv+:1490;nsv-:5949
62;0,71511465592799;0,00474825114222224;62;0,5480984375;0,0128774659818457;10000;2000;2361,2673;490,8509;C:100;Kernel:1;nsv:7500;nsv+:1502;nsv-:5998
63;0,711740037447021;0,00476808332412324;63;0,549075520833333;0,012879784743044;10000;2000;2443,187;445,1342;C:100;Kernel:1;nsv:7471;nsv+:1497;nsv-:5974
64;0,731527553534592;0,00492770734298437;64;0,5798328125;0,0127495262918719;10000;2000;2326,1857;475,1083;C:100;Kernel:1;nsv:7358;nsv+:1473;nsv-:5885
65;0,724464899527679;0,0050062680396021;65;0,574180729166666;0,0127890591659134;10000;2000;1925,6217;476,0167;C:100;Kernel:1;nsv:7432;nsv+:1490;nsv-:5942
66;0,752705428018261;0,00496631888130282;66;0,5760671875;0,0127660522040796;10000;2000;1996,0282;361,0389;C:100;Kernel:1;nsv:7118;nsv+:1426;nsv-:5692
67;0,710381918588019;0,0048014744490154;67;0,553311458333334;0,0128962856484001;10000;2000;2303,0141;518,9025;C:100;Kernel:1;nsv:7511;nsv+:1502;nsv-:6009
68;0,714782198284507;0,00470975201847128;68;0,543796354166667;0,0128659696695042;10000;2000;1983,6445;588,5716;C:100;Kernel:1;nsv:7502;nsv+:1502;nsv-:6000
69;0,71647797060431;0,00479269605822519;69;0,5133890625;0,0129396044635798;10000;2000;2066,4103;475,5915;C:100;Kernel:1;nsv:7431;nsv+:1487;nsv-:5944
